geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037181400,6037181400,2021,1119,1675,1753.9607
1400000US06037181500,6037181500,2021,400,2046,2142.45
1400000US06037181600,6037181600,2021,585,1704,1784.3278
1400000US06037183101,6037183101,2021,484,1673,1751.8663
1400000US06037183103,6037183103,2021,1285,1535,1607.361
1400000US06037183104,6037183104,2021,247,1536,1608.4081
1400000US06037183220,6037183220,2021,486,1507,1578.041
1400000US06037183221,6037183221,2021,508,1367,1431.4413
1400000US06037183222,6037183222,2021,629,1343,1406.3099
1400000US06037183300,6037183300,2021,650,1751,1833.5433
1400000US06037183401,6037183401,2021,406,1728,1809.4591
1400000US06037183402,6037183402,2021,827,1653,1730.9236
1400000US06037183510,6037183510,2021,198,1873,1961.2946
1400000US06037183520,6037183520,2021,784,1274,1334.0573
1400000US06037183610,6037183610,2021,667,1502,1572.8053
1400000US06037183620,6037183620,2021,551,1505,1575.9468
1400000US06037183701,6037183701,2021,852,1614,1690.0851
1400000US06037183702,6037183702,2021,574,1641,1718.3579
1400000US06037183810,6037183810,2021,1196,1429,1496.364
1400000US06037183820,6037183820,2021,1041,1427,1494.2698
1400000US06037185101,6037185101,2021,692,1694,1773.8563
1400000US06037185102,6037185102,2021,320,3207,3358.1802
1400000US06037185202,6037185202,2021,712,1877,1965.483
1400000US06037185203,6037185203,2021,568,1478,1547.674
1400000US06037185204,6037185204,2021,206,1809,1894.2775
1400000US06037185310,6037185310,2021,566,1506,1576.9939
1400000US06037185320,6037185320,2021,532,1295,1356.0472
1400000US06037186100,6037186100,2021,774,1720,1801.082
1400000US06037186201,6037186201,2021,773,1430,1497.4113
1400000US06037186202,6037186202,2021,381,1830,1916.2675
1400000US06037186203,6037186203,2021,228,2348,2458.6863
1400000US06037186301,6037186301,2021,587,1646,1723.5936
1400000US06037186302,6037186302,2021,700,1639,1716.2635
1400000US06037186401,6037186401,2021,750,1639,1716.2635
1400000US06037186403,6037186403,2021,469,1498,1568.6168
1400000US06037186404,6037186404,2021,561,1630,1706.8394
1400000US06037187101,6037187101,2021,600,1494,1564.4282
1400000US06037187102,6037187102,2021,969,1384,1449.2427
1400000US06037187200,6037187200,2021,635,2049,2145.5913
1400000US06037187300,6037187300,2021,935,2194,2297.4268
1400000US06037188100,6037188100,2021,1408,1824,1909.9846
1400000US06037188201,6037188201,2021,1229,2061,2158.157
1400000US06037188202,6037188202,2021,500,1784,1868.099
1400000US06037188300,6037188300,2021,795,2190,2293.238
1400000US06037189101,6037189101,2021,949,1975,2068.1028
1400000US06037189102,6037189102,2021,1509,1984,2077.5271
1400000US06037189201,6037189201,2021,1592,1696,1775.9507
1400000US06037189202,6037189202,2021,767,2020,2115.2241
1400000US06037189300,6037189300,2021,68,1354,1417.8285
1400000US06037189400,6037189400,2021,710,2260,2366.5381
1400000US06037189501,6037189501,2021,1179,1854,1941.3988
1400000US06037189502,6037189502,2021,1177,1615,1691.1322
1400000US06037189600,6037189600,2021,1286,1686,1765.4792
1400000US06037189702,6037189702,2021,737,1693,1772.8092
1400000US06037189703,6037189703,2021,395,2366,2477.5349
1400000US06037189704,6037189704,2021,295,1894,1983.2844
1400000US06037189801,6037189801,2021,965,1973,2066.0085
1400000US06037189802,6037189802,2021,726,1928,2018.8872
1400000US06037189903,6037189903,2021,1093,2248,2353.9724
1400000US06037189904,6037189904,2021,1407,1881,1969.6716
1400000US06037189905,6037189905,2021,1081,1893,1982.2373
1400000US06037189906,6037189906,2021,1304,1987,2080.6685
1400000US06037189907,6037189907,2021,1348,1752,1834.5905
1400000US06037190101,6037190101,2021,1197,1411,1477.5155
1400000US06037190102,6037190102,2021,1286,1960,2052.3958
1400000US06037190201,6037190201,2021,1411,1382,1447.1484
1400000US06037190202,6037190202,2021,2227,1757,1839.8262
